,total_rate,longitude,latitude,zone,in_poly,cell,rate_2.5
0,0.00011919336415726544,5.275,46.175,26.0,False,10192,7.228650928777659e-05
1,0.00011919169878756406,5.275,46.224999999999994,26.0,False,10374,7.228549930065828e-05
2,4.7186823019804846e-05,5.275,46.27499999999999,25.0,False,10556,2.8617119288463988e-05
3,4.718515486529449e-05,5.275,46.324999999999996,25.0,False,10920,2.8616107612458707e-05
4,0.0001191983518954576,5.325,46.02499999999999,26.0,False,9283,7.228953417247299e-05
5,0.00012235574210181716,5.325,46.074999999999996,26.0,False,9647,7.420437832584386e-05
6,0.00012235121608897758,5.325,46.12499999999999,26.0,False,9829,7.420163346104809e-05
7,0.00012234668627698892,5.325,46.175,26.0,False,10193,7.419888629220438e-05
8,0.00012234215266930092,5.325,46.224999999999994,26.0,False,10375,7.419613682140488e-05
9,0.00012233761526936617,5.325,46.27499999999999,26.0,False,10557,7.419338505074343e-05
10,5.0329865075621365e-05,5.325,46.324999999999996,25.0,False,10921,3.052326180206804e-05
11,5.0325320101562116e-05,5.325,46.37499999999999,25.0,False,11103,3.0520505437971186e-05
12,5.032077134563098e-05,5.325,46.425,25.0,False,11467,3.051774678030439e-05
13,5.031621881129205e-05,5.325,46.474999999999994,25.0,False,11649,3.0514985831168495e-05
14,0.00011920498263368015,5.375,45.824999999999996,26.0,False,8374,7.229355547788288e-05
15,0.00012237380809279377,5.375,45.87499999999999,26.0,False,8556,7.421533470276768e-05
16,0.00012236929731098884,5.375,45.925,26.0,False,8920,7.421259907504928e-05
17,0.0001223647827162652,5.375,45.974999999999994,26.0,False,9102,7.420986113493217e-05
18,0.00012236026431206097,5.375,46.02499999999999,26.0,False,9284,7.42071208845014e-05
19,0.00012235574210181716,5.375,46.074999999999996,26.0,False,9648,7.420437832584386e-05
20,0.00012235121608897758,5.375,46.12499999999999,26.0,False,9830,7.420163346104809e-05
21,0.00012234668627698892,5.375,46.175,26.0,False,10194,7.419888629220438e-05
22,0.00012234215266930092,5.375,46.224999999999994,26.0,False,10376,7.419613682140488e-05
23,0.00012233761526936617,5.375,46.27499999999999,26.0,False,10558,7.419338505074343e-05
24,0.00012233307408063997,5.375,46.324999999999996,26.0,False,10922,7.41906309823156e-05
25,5.0325320101562116e-05,5.375,46.37499999999999,25.0,False,11104,3.0520505437971186e-05
26,5.032077134563098e-05,5.375,46.425,25.0,False,11468,3.051774678030439e-05
27,5.031621881129205e-05,5.375,46.474999999999994,25.0,False,11650,3.0514985831168495e-05
28,5.031166250201224e-05,5.375,46.52499999999999,25.0,False,11832,3.0512222592666072e-05
29,5.0307102421261405e-05,5.375,46.574999999999996,25.0,False,12196,3.0509457066901456e-05
30,5.0302538572512245e-05,5.375,46.62499999999999,25.0,False,12378,3.0506689255980713e-05
31,5.0297970959240354e-05,5.375,46.675,25.0,False,12742,3.0503919162011676e-05
32,0.00011920994095863786,5.425,45.675,26.0,False,7647,7.229656252450534e-05
33,0.00011920828958890613,5.425,45.724999999999994,26.0,False,7829,7.229556102786755e-05
34,0.00011920663681350072,5.425,45.77499999999999,26.0,False,8011,7.229455867873898e-05
35,0.00012237831505824498,5.425,45.824999999999996,26.0,False,8375,7.421806801600414e-05
36,0.00012237380809279377,5.425,45.87499999999999,26.0,False,8557,7.421533470276768e-05
37,0.00012236929731098884,5.425,45.925,26.0,False,8921,7.421259907504928e-05
38,0.0001223647827162652,5.425,45.974999999999994,26.0,False,9103,7.420986113493217e-05
39,0.00012236026431206097,5.425,46.02499999999999,26.0,False,9285,7.42071208845014e-05
40,0.00012235574210181716,5.425,46.074999999999996,26.0,False,9649,7.420437832584386e-05
41,0.00012235121608897758,5.425,46.12499999999999,26.0,False,9831,7.420163346104809e-05
42,0.00012234668627698892,5.425,46.175,26.0,False,10195,7.419888629220438e-05
43,0.00012234215266930092,5.425,46.224999999999994,26.0,False,10377,7.419613682140488e-05
44,0.00012233761526936617,5.425,46.27499999999999,26.0,False,10559,7.419338505074343e-05
45,0.00012233307408063997,5.425,46.324999999999996,26.0,False,10923,7.41906309823156e-05
46,0.00012232852910658076,5.425,46.37499999999999,26.0,False,11105,7.418787461821876e-05
47,5.032077134563098e-05,5.425,46.425,25.0,False,11469,3.051774678030439e-05
48,5.031621881129205e-05,5.425,46.474999999999994,25.0,False,11651,3.0514985831168495e-05
49,5.031166250201224e-05,5.425,46.52499999999999,25.0,False,11833,3.0512222592666072e-05
50,5.0307102421261405e-05,5.425,46.574999999999996,25.0,False,12197,3.0509457066901456e-05
51,5.0302538572512245e-05,5.425,46.62499999999999,25.0,False,12379,3.0506689255980713e-05
52,5.0297970959240354e-05,5.425,46.675,25.0,False,12743,3.0503919162011676e-05
53,5.029339958492414e-05,5.425,46.724999999999994,25.0,False,12925,3.0501146787103866e-05
54,5.028882445304487e-05,5.425,46.77499999999999,25.0,False,13107,3.0498372133368556e-05
55,5.028424556708674e-05,5.425,46.824999999999996,25.0,False,13471,3.0495595202918773e-05
56,0.00021981175297617182,5.475,45.02499999999999,24.0,False,4190,0.0001333079608535066
57,0.00021979911881362364,5.475,45.074999999999996,24.0,False,4554,0.00013330029868611297
58,0.00011921488662121986,5.475,45.52499999999999,26.0,False,6738,7.229956189185011e-05
59,0.00011921323947605067,5.475,45.574999999999996,26.0,False,7102,7.22985629572583e-05
60,0.00011921159092143819,5.475,45.62499999999999,26.0,False,7284,7.229756316788958e-05
61,0.00011920994095863786,5.475,45.675,26.0,False,7648,7.229656252450534e-05
62,0.00011920828958890613,5.475,45.724999999999994,26.0,False,7830,7.229556102786755e-05
